PLOT_YEAR,YEAR,GENOTYPE,PLOT,NTREATMENT,SUBPOPULATION,E,A,Ci,gsw,KERNELDRYWT_PERPLANT,DAYSTOSILK,AVGFLAGHT_CM
7486_2022,2022,B73,7486,L,SS-B73,0.00409555,23.59945251,201.2310978,0.157683043,32.5867,76,167.5
7516_2022,2022,B73,7516,L,SS-B73,0.003747457,17.42851442,239.9610158,0.142734539,29.9598,76,158.5
7098_2022,2022,B77,7098,H,Mixed,0.003059423,20.3699945,172.4980513,0.116535924,61.57635714,73,201.5
7302_2022,2022,B77,7302,L,Mixed,0.001716728,17.20741997,175.6883901,0.097019767,32.593275,76,177.5
7034_2022,2022,B79,7034,H,Mixed,0.001871058,14.45151479,274.2570057,0.119402636,45.068625,71,133.5
7321_2022,2022,B79,7321,L,Mixed,0.00233694,12.70186489,324.40664,0.156623782,31.644725,72,133.5
7006_2022,2022,B8,7006,H,Broad origin-public ,0.002626098,9.135780039,373.1605224,0.152675091,52.525825,61,128
7361_2022,2022,B8,7361,L,Broad origin-public ,0.003161928,19.69149729,243.423604,0.153896627,49.96425,61,117.5
7008_2022,2022,C102,7008,H,Mixed,0.00331488,15.24103739,304.8483876,0.189315511,41.4238125,74,208
7368_2022,2022,C102,7368,L,Mixed,0.003917538,26.2901781,221.485314,0.193971175,38.841,77,195.5
7011_2022,2022,C123,7011,H,Mixed,0.002403873,9.446362287,348.447795,0.134300152,58.10931429,67,134
7091_2022,2022,B73,7091,H,SS-B73,0.004125904,17.62103218,308.489387,0.210094638,67.9581,76,173.5
7067_2022,2022,B73,7067,H,SS-B73,0.003441805,23.64312174,199.8727417,0.192508261,70.914025,74,178
7110_2022,2022,C49A,7110,H,Broad origin-public ,0.00372741,19.4999823,231.2382202,0.141895293,31.0824,58,119
7320_2022,2022,A,7320,L,Broad origin-public ,0.001239152,7.944841081,273.2878564,0.068590258,17.763825,76,172.5
7089_2022,2022,CI_91B,7089,H,Mixed,0.002846132,21.28939264,193.4856091,0.133370756,49.22591429,76,150
7355_2022,2022,CM37,7355,L,Broad origin-public ,0.001538334,2.568122387,422.3484872,0.073350775,34.1625625,54,101
7028_2022,2022,CM99,7028,H,SS-B14,0.001705213,3.46538284,419.1015533,0.093080361,29.124825,62,132.5
7405_2022,2022,CM99,7405,L,SS-B14,0.002681398,13.82331523,219.1365012,0.09402082,23.2058125,60,108
7100_2022,2022,CO125,7100,H,Broad origin-public ,0.003527752,14.28131663,255.9991068,0.133082852,30.92245,61,125
7315_2022,2022,CO125,7315,L,Broad origin-public ,0.002390257,5.214450962,397.5480598,0.140832891,21.8669,62,121.5
7390_2022,2022,CI_91B,7390,L,Mixed,0.002276831,13.65500235,188.8679609,0.083879063,30.037125,79,121.5
7029_2022,2022,CO216,7029,H,Broad origin-public ,0.001463529,18.0629999,153.1850254,0.094481047,40.7228125,62,136.5
7374_2022,2022,CO216,7374,L,Broad origin-public ,0.002107487,17.98948376,137.5626907,0.090574454,36.226325,65,137.5
7099_2022,2022,CO236,7099,H,Broad origin-public ,0.003817325,16.33853046,278.2211804,0.149852319,20.760375,63,121.5
7397_2022,2022,CO236,7397,L,Broad origin-public ,0.003113911,12.8105775,297.530461,0.115974592,24.34964,64,117.5
7018_2022,2022,DE3,7018,H,NSS-Oh43,0.001063624,6.571962233,275.6425036,0.057894678,54.5436,69,137.5
7387_2022,2022,DE3,7387,L,NSS-Oh43,0.002311032,12.49157578,265.0341672,0.100345785,41.2565875,67,132
7077_2022,2022,CM37,7077,H,Broad origin-public ,0.004783856,17.27212316,350.5543573,0.275223744,28.4340375,53,96
7330_2022,2022,DK3IIH6,7330,L,IDT,0.001957828,15.38299615,245.9550939,0.114780564,64.159375,67,154.5
7020_2022,2022,DK3IIH6,7020,H,IDT,0.001648338,24.5714388,69.32960298,0.113311731,65.9895,66,147
7366_2022,2022,H71,7366,L,Broad origin-public ,0.001995057,10.76945603,266.4717559,0.086462136,38.30695,72,166.5
7031_2022,2022,H84,7031,H,SS-B37,0.00232055,13.35756126,345.1670291,0.176593411,72.0658125,71,133.5
7326_2022,2022,H122w,7326,L,SS-B73,0.001940217,21.81960998,204.3302765,0.145799201,31.709,74,150.5
7012_2022,2022,H71,7012,H,Broad origin-public ,0.002174771,10.37012559,329.8330448,0.120296289,41.6368,72,162
7059_2022,2022,DKWDAD1,7059,H,SS-B73,0.003903865,25.29356523,235.1518632,0.205866568,52.62525,72,123.5
7343_2022,2022,DKHBA1,7343,L,Mixed,0.002448497,16.24999428,269.7216231,0.13833762,45.72485,76,172
7005_2022,2022,DKHBA1,7005,H,Mixed,0.002139008,10.13108559,335.8056578,0.119824201,64.143575,74,155
7307_2022,2022,DK8M129,7307,L,Mixed,0.001097351,11.98683377,192.9162509,0.067845158,13.87787143,69,153
7004_2022,2022,DK8M129,7004,H,Mixed,0.002778152,10.34653692,354.4062208,0.159410232,49.4724375,66,140.5
7340_2022,2022,DKWDAD1,7340,L,SS-B73,0.002229931,16.15310037,280.4524699,0.143693171,48.6453125,68,129
7065_2022,2022,INB101LFY,7065,H,SS-B14,0.002499355,13.94551112,213.7304877,0.092176993,38.54015,74,181
7393_2022,2022,H84,7393,L,SS-B37,0.002071371,9.186357253,269.2078342,0.077665569,45.903,74,119
7033_2022,2022,LH38,7033,H,NSS-Oh43,0.001879768,14.19981962,256.6370329,0.116620958,59.8849625,65,115
7391_2022,2022,INB101LFY,7391,L,SS-B14,0.001768174,12.55649742,135.21344,0.062947843,31.7379,78,168.5
